id,vegetation,sky,building,road,shadow_ratio,sky_brightness,h_mean,h_std,s_mean,s_std,v_mean,v_std,entropy,colorfulness,LST,lat,lon,block_id,poi_density
5123029554,0.0370867919921875,0.1530462646484374,0.4595928955078125,0.3502740478515625,0.5448687744140625,146.09902802230047,80.52867004394531,41.94295883514516,37.36115600585937,39.43583279746928,129.48196533203125,52.2624410030064,7.48073325,19.859397413690857,32.76446216000004,22.3073216,114.1672825,1,39
5123029555,0.0426708984375,0.0385693359375,0.59145751953125,0.32730224609375,0.353662109375,124.04431301349766,31.327095336914063,33.49950495404317,44.84314270019532,40.75056331990027,118.8290106201172,46.0892079029401,7.38139365,18.566010021185207,33.32957480000004,22.3075342,114.1663535,1,47
5123029556,0.1243707275390625,0.115634765625,0.476121826171875,0.2838726806640625,0.587239990234375,136.35463248239435,76.51241882324219,41.89056634791673,44.70185180664063,44.806488206591766,122.11505065917969,54.998917255726326,7.6496075,21.776410238698418,33.58079927000001,22.3077472,114.1654255,1,20
5131739783,0.006934814453125,0.03301513671875,0.61630126953125,0.343748779296875,0.766033935546875,121.1612511003521,35.09524780273438,29.23095197254036,42.851004638671874,26.63432443522407,125.14835998535156,48.30021838684387,7.134858025,16.48355152301225,29.088951320000024,22.3074624,114.1613338,1,3
5133880779,0.0293078613281249,0.1533148193359375,0.4804998779296874,0.33687744140625,0.674384765625,151.40290676349764,64.15364501953125,53.7597691831301,43.15408752441407,47.86566638837419,120.46384338378904,60.44437621538903,7.61111885,23.46249503426424,30.166197290000024,22.3187874,114.1665106,0,14
5137162815,0.03702392578125,0.2712060546875,0.572103271484375,0.119666748046875,0.4599517822265625,169.54478249706574,58.98799133300781,44.50945005991031,37.58009765625,33.90381518834858,166.95496276855468,53.920460458359145,7.4836269,25.535951426548746,32.88637154,22.3026321,114.161391,1,1
5137163548,0.0038470458984374,0.007069091796875,0.98884033203125,0.0002435302734374,0.52377197265625,111.2829610475352,25.44409912109375,9.264045164710318,194.8467999267578,54.79129110563359,175.3885028076172,48.40469962432839,7.313941325,88.02589528007249,32.99403917000001,22.3031662,114.1640343,1,6
5137163555,0.034190673828125,0.148319091796875,0.4190960693359375,0.3983941650390625,0.645618896484375,115.06661164906104,67.22155090332032,49.987562022392254,37.74907470703125,39.50897009743366,112.36717041015626,47.1127844540841,7.401110875,17.818184226874756,32.12928011,22.3054532,114.1636769,1,8
5137163566,0.0350708007812499,0.2065240478515625,0.3949700927734375,0.3634350585937499,0.6108465576171875,144.97467356220656,79.8194189453125,47.88178181181178,45.50712585449219,43.99982390441678,120.0763153076172,60.53200208981232,7.535620825,25.706821361312336,33.675934160000004,22.3065551,114.1637617,1,5
5137163580,0.013638916015625,0.0374810791015624,0.74261962890625,0.2062603759765625,0.5033636474609375,94.01288145539904,46.32648864746093,38.34787802818688,47.66337463378906,42.66282374435132,98.1644512939453,48.27019872510513,7.392567125,16.425568092631362,30.03859121000001,22.302988,114.167242,1,5
5271293472,0.0127124023437499,0.3539825439453125,0.376636962890625,0.2566680908203125,0.4272332763671875,162.09610475352113,63.81850891113282,42.78649716750572,56.94245056152344,39.78241054938829,148.6742364501953,57.64183552688488,7.416802499999999,33.26358675147007,34.278645020000006,22.3042201,114.182052,2,3
5333519678,0.00803466796875,0.338883056640625,0.389189453125,0.263892822265625,0.5592181396484375,179.13095473884977,93.46799560546874,25.092181228902646,47.80693786621094,30.96581865608124,163.78655212402344,61.50095274232852,7.346958750000001,29.6023866015376,28.41958907000002,22.3054539,114.1603767,1,3
5333519683,0.0308050537109375,0.11603515625,0.4271331787109375,0.426026611328125,0.706956787109375,143.35192561619718,48.04817260742188,36.49728398067181,22.576134033203125,26.514680765934813,125.87554504394532,51.04112070248593,7.326104875,8.9865543619743,32.75363843000002,22.3125156,114.1620693,1,1
5333519688,0.0717840576171875,0.0728546142578125,0.4783831787109375,0.3769781494140625,0.606151123046875,109.72045371185446,38.67499450683594,27.55414680809252,51.31985595703125,47.24088736096016,111.29440673828124,49.0281462441347,7.397678975,15.525816878890614,31.93046528000002,22.3106501,114.162134,1,0
5429072347,0.0127807617187499,0.079696044921875,0.5766003417968749,0.3309228515625,0.5340771484375,138.05420334507042,30.818591918945312,33.34761974844842,50.549679565429685,42.537271258902585,123.34591552734376,48.49229090176176,7.3383455,18.881444914698964,31.21780811000001,22.3262516,114.1662165,0,28
5436700698,0.014718017578125,0.333189697265625,0.35279541015625,0.299296875,0.52914794921875,197.82153389084507,72.46889709472656,41.88505922101343,31.29106811523437,31.341286376535976,157.52663146972657,62.20000794726767,7.52912035,16.429352914561612,33.159243470000035,22.3117475,114.163385,1,2
5436701122,0.0183660888671874,0.1820111083984375,0.472801513671875,0.3268212890625,0.626162109375,161.5725058685446,85.25201721191405,52.705739971704574,34.22895385742187,41.86144605536576,138.36917602539063,59.6289251902008,7.429737625,29.61307495816453,34.475750840000025,22.3092536,114.1638064,1,4
5436701127,0.031640625,0.363358154296875,0.4707952880859375,0.1342059326171875,0.465970458984375,185.302948943662,57.47034423828125,39.12468750862831,53.30575988769532,31.56336199637527,170.02596435546874,51.448387231827226,7.339818425,29.11352550986374,33.72549545000003,22.310754,114.1639881,1,0
5436750002,0.06553466796875,0.23089599609375,0.523585205078125,0.179984130859375,0.626170654296875,181.7485658744132,51.68421936035156,44.85178200946819,43.67558166503906,39.55266439319016,151.45397399902345,52.62633172086637,7.362470325,27.15989668204085,34.028559890000025,22.3085652,114.1649605,1,11
5436750014,0.0399908447265625,0.168272705078125,0.4666290283203125,0.3251074218749999,0.638448486328125,161.94908670774646,52.31303283691406,48.95234825418373,40.57184204101563,41.18635260060871,128.81501525878906,60.8683024810506,7.5042241,24.085667999354047,33.756257630000015,22.3067131,114.1651451,1,11
5647922669,0.0204461669921875,0.2618359375,0.410491943359375,0.3072259521484375,0.6609246826171875,194.14932144953053,53.97856262207032,43.19205265102278,38.36810546875,40.29011400955597,150.12049743652344,62.77857548565985,7.4280548,22.83628044469176,33.86563427000004,22.3089783,114.1654939,1,20
5647922704,0.012369384765625,0.27709228515625,0.3778887939453125,0.3326495361328125,0.6337078857421875,176.5251815580986,56.14101684570312,46.32453986636592,37.44033935546875,34.386184730520924,149.90416015625,55.56854189744064,7.40713565,24.78065563552982,33.81322463000004,22.3091534,114.1652249,1,19
5705662284,0.014403076171875,0.262462158203125,0.4900787353515625,0.2330560302734375,0.6467358398437499,194.0845712294601,49.133662109375,43.23191660283227,36.39452331542969,28.780001442548016,160.5971759033203,55.01180881617698,7.33480265,22.10182837662502,33.929437310000026,22.3090641,114.1650484,1,17
5705662285,0.0177862548828124,0.187166748046875,0.6422119140625,0.1528350830078125,0.5613226318359374,170.18153792546948,47.673271484375,37.97470554592614,52.086004638671874,32.80549439384148,152.53776000976563,49.30081505849886,7.22041835,28.284812410599915,33.81322463000004,22.3090315,114.1652095,1,21
5805784085,0.0100042724609375,0.24645751953125,0.6401513671875,0.1033868408203125,0.2099810791015625,171.47038402288734,59.685488891601565,43.95037473707294,36.139420166015626,31.207771672879563,159.82433654785154,57.991696043411466,7.325834675,27.576032077250787,33.37343939000002,22.302683,114.1639074,1,4
5870086800,0.007142333984375,0.1845684814453125,0.4713775634765624,0.33691162109375,0.627415771484375,119.112802596831,56.55202819824219,49.20653500752948,35.15464416503906,30.996101813093013,121.9446221923828,50.68414384869476,7.485286825,14.572420927661772,32.698380440000015,22.3056253,114.1640546,1,6
6052471816,0.0135931396484374,0.2273651123046874,0.509127197265625,0.2499145507812499,0.5415740966796875,184.1269494571596,44.864195556640624,37.98441256017857,43.38344848632813,45.42768287521969,147.55055053710936,55.55450656165688,7.450403925,28.935361955102223,35.18498999000002,22.3118739,114.1647667,1,7
6052475833,0.0547772216796875,0.333240966796875,0.5205364990234375,0.0914453125,0.4164288330078124,186.01036164906105,58.06618164062501,42.63228277156116,56.85366271972656,36.98473305071592,170.01289001464843,59.42786602996338,7.512886575,36.87316872857054,35.484066740000024,22.3118978,114.1650509,1,7
6052475835,0.027662353515625,0.33228759765625,0.5439019775390624,0.0961480712890625,0.5202484130859375,173.04739583333333,57.16029235839844,45.07831754057592,62.26619873046875,40.87695384466024,172.08087341308592,52.15699337830719,7.4216005,40.77705556476139,35.31373541000003,22.3117183,114.1649564,1,7
6052491085,0.0124761962890625,0.2975653076171874,0.3128009033203124,0.3771575927734375,0.60442626953125,192.58361575704225,62.05812194824219,41.34603633320087,30.2635205078125,36.3277613527753,149.4393975830078,58.5141872956544,7.35300215,21.23703254758582,33.42357035000001,22.3105587,114.1650273,1,5
6148869793,0.084324951171875,0.2127978515624999,0.602728271484375,0.10014892578125,0.281162109375,162.82125513497652,58.29088134765625,40.874799588228775,32.291121826171874,36.14556366385213,153.39490600585935,56.249383089518346,7.27734075,17.63486862908806,29.521900520000013,22.3018094,114.1584886,1,3
6252304191,0.0309393310546874,0.15415283203125,0.47029541015625,0.3446124267578125,0.56912841796875,171.78908450704225,41.20390380859375,38.701899502501895,39.20000305175781,37.16712732931829,135.78307434082032,58.3721474624267,7.541105874999999,18.0209991502345,33.351222260000014,22.3081615,114.1665194,1,18
