id,lat,lon,heading,filename
1640472898,22.3225141,114.1606676,270,1640472898_270.jpg
1187353101,22.2995228,114.1720777,0,1187353101_0.jpg
1187353101,22.2995228,114.1720777,90,1187353101_90.jpg
1187353101,22.2995228,114.1720777,180,1187353101_180.jpg
1187353101,22.2995228,114.1720777,270,1187353101_270.jpg
1168183682,22.3208812,114.1696756,0,1168183682_0.jpg
1168183682,22.3208812,114.1696756,90,1168183682_90.jpg
1168183682,22.3208812,114.1696756,180,1168183682_180.jpg
1168183682,22.3208812,114.1696756,270,1168183682_270.jpg
1172166367,22.3119507,114.1648646,0,1172166367_0.jpg
1172166367,22.3119507,114.1648646,90,1172166367_90.jpg
1172166367,22.3119507,114.1648646,180,1172166367_180.jpg
1172166367,22.3119507,114.1648646,270,1172166367_270.jpg
988059784,22.2999717,114.1685317,0,988059784_0.jpg
988059784,22.2999717,114.1685317,90,988059784_90.jpg
988059784,22.2999717,114.1685317,180,988059784_180.jpg
988059784,22.2999717,114.1685317,270,988059784_270.jpg
9197539595,22.3266331,114.1708835,0,9197539595_0.jpg
9197539595,22.3266331,114.1708835,90,9197539595_90.jpg
9197539595,22.3266331,114.1708835,180,9197539595_180.jpg
9197539595,22.3266331,114.1708835,270,9197539595_270.jpg
1178971336,22.3237063,114.1696699,0,1178971336_0.jpg
1178971336,22.3237063,114.1696699,90,1178971336_90.jpg
1178971336,22.3237063,114.1696699,180,1178971336_180.jpg
1178971336,22.3237063,114.1696699,270,1178971336_270.jpg
1172757415,22.3084989,114.1713838,0,1172757415_0.jpg
1172757415,22.3084989,114.1713838,90,1172757415_90.jpg
1172757415,22.3084989,114.1713838,180,1172757415_180.jpg
1172757415,22.3084989,114.1713838,270,1172757415_270.jpg
288995381,22.317492,114.1566572,0,288995381_0.jpg
288995381,22.317492,114.1566572,90,288995381_90.jpg
288995381,22.317492,114.1566572,180,288995381_180.jpg
288995381,22.317492,114.1566572,270,288995381_270.jpg
1151084790,22.3163915,114.1738083,0,1151084790_0.jpg
1151084790,22.3163915,114.1738083,90,1151084790_90.jpg
1151084790,22.3163915,114.1738083,180,1151084790_180.jpg
1151084790,22.3163915,114.1738083,270,1151084790_270.jpg
4510281036,22.3030214,114.1690856,0,4510281036_0.jpg
4510281036,22.3030214,114.1690856,90,4510281036_90.jpg
4510281036,22.3030214,114.1690856,180,4510281036_180.jpg
4510281036,22.3030214,114.1690856,270,4510281036_270.jpg
332251620,22.3217144,114.1670898,0,332251620_0.jpg
332251620,22.3217144,114.1670898,90,332251620_90.jpg
332251620,22.3217144,114.1670898,180,332251620_180.jpg
332251620,22.3217144,114.1670898,270,332251620_270.jpg
13395157689,22.3157614,114.1639182,0,13395157689_0.jpg
13395157689,22.3157614,114.1639182,90,13395157689_90.jpg
13395157689,22.3157614,114.1639182,180,13395157689_180.jpg
13395157689,22.3157614,114.1639182,270,13395157689_270.jpg
11253936096,22.3116868,114.169654,0,11253936096_0.jpg
11253936096,22.3116868,114.169654,90,11253936096_90.jpg
11253936096,22.3116868,114.169654,180,11253936096_180.jpg
11253936096,22.3116868,114.169654,270,11253936096_270.jpg
2089428235,22.3070573,114.16148,0,2089428235_0.jpg
2089428235,22.3070573,114.16148,90,2089428235_90.jpg
2089428235,22.3070573,114.16148,180,2089428235_180.jpg
2089428235,22.3070573,114.16148,270,2089428235_270.jpg
582596692,22.3063265,114.1816905,0,582596692_0.jpg
582596692,22.3063265,114.1816905,90,582596692_90.jpg
582596692,22.3063265,114.1816905,180,582596692_180.jpg
582596692,22.3063265,114.1816905,270,582596692_270.jpg
5123029554,22.3073216,114.1672825,0,5123029554_0.jpg
5123029554,22.3073216,114.1672825,90,5123029554_90.jpg
5123029554,22.3073216,114.1672825,180,5123029554_180.jpg
5123029554,22.3073216,114.1672825,270,5123029554_270.jpg
9803283485,22.310057,114.1678927,0,9803283485_0.jpg
